sequence,scheduled_time_s,phase,goal_rad,goal_tick,tx_start_ns,tx_end_ns
0,0.000000000,center,0.000000000,2048,113900531264691,113900531701013
1,0.010000000,center,0.000000000,2048,113900541338228,113900542703820
2,0.020000000,center,0.000000000,2048,113900551350951,113900552713013
3,0.030000000,center,0.000000000,2048,113900561409353,113900562703998
4,0.040000000,center,0.000000000,2048,113900571344047,113900572706447
5,0.050000000,center,0.000000000,2048,113900581400707,113900582703033
6,0.060000000,center,0.000000000,2048,113900591406883,113900592685427
7,0.070000000,center,0.000000000,2048,113900601349081,113900602758330
8,0.080000000,center,0.000000000,2048,113900611345137,113900612691417
9,0.090000000,center,0.000000000,2048,113900621406652,113900622700413
10,0.100000000,center,0.000000000,2048,113900631406247,113900632702679
11,0.110000000,center,0.000000000,2048,113900641336149,113900642718665
12,0.120000000,center,0.000000000,2048,113900651348070,113900652702354
13,0.130000000,center,0.000000000,2048,113900661400752,113900662698415
14,0.140000000,center,0.000000000,2048,113900671341847,113900672701774
15,0.150000000,center,0.000000000,2048,113900681324868,113900681695545
16,0.160000000,center,0.000000000,2048,113900691325172,113900691689443
17,0.170000000,center,0.000000000,2048,113900701406819,113900702701904
18,0.180000000,center,0.000000000,2048,113900711406600,113900712698727
19,0.190000000,center,0.000000000,2048,113900721336751,113900722688527
20,0.200000000,center,0.000000000,2048,113900731413782,113900732702459
21,0.210000000,center,0.000000000,2048,113900741336344,113900742700224
22,0.220000000,center,0.000000000,2048,113900751346132,113900752703374
23,0.230000000,center,0.000000000,2048,113900761404082,113900762706324
24,0.240000000,center,0.000000000,2048,113900771405257,113900772699174
25,0.250000000,center,0.000000000,2048,113900781405278,113900782698287
26,0.260000000,center,0.000000000,2048,113900791407587,113900792690309
27,0.270000000,center,0.000000000,2048,113900801405439,113900802833381
28,0.280000000,center,0.000000000,2048,113900811347730,113900812705221
29,0.290000000,center,0.000000000,2048,113900821347845,113900822686279
30,0.300000000,center,0.000000000,2048,113900831337685,113900832698443
31,0.310000000,center,0.000000000,2048,113900841341220,113900842699664
32,0.320000000,center,0.000000000,2048,113900851401038,113900852705408
33,0.330000000,center,0.000000000,2048,113900861407975,113900862698642
34,0.340000000,center,0.000000000,2048,113900871408266,113900872704558
35,0.350000000,center,0.000000000,2048,113900881342787,113900882724797
36,0.360000000,center,0.000000000,2048,113900891330982,113900892673214
37,0.370000000,center,0.000000000,2048,113900901328961,113900902681617
38,0.380000000,center,0.000000000,2048,113900911327982,113900911687961
39,0.390000000,center,0.000000000,2048,113900921333778,113900922673347
40,0.400000000,center,0.000000000,2048,113900931328000,113900932698409
41,0.410000000,center,0.000000000,2048,113900941326298,113900941670810
42,0.420000000,center,0.000000000,2048,113900951329455,113900952671189
43,0.430000000,center,0.000000000,2048,113900961324906,113900961672813
44,0.440000000,center,0.000000000,2048,113900971331200,113900972659221
45,0.450000000,center,0.000000000,2048,113900981327255,113900982669315
46,0.460000000,center,0.000000000,2048,113900991327404,113900992672007
47,0.470000000,center,0.000000000,2048,113901001325023,113901001668277
48,0.480000000,center,0.000000000,2048,113901011325713,113901011665345
49,0.490000000,center,0.000000000,2048,113901021326903,113901021672406
50,0.500000000,center,0.000000000,2048,113901031326260,113901032673492
51,0.510000000,center,0.000000000,2048,113901041411400,113901042686939
52,0.520000000,center,0.000000000,2048,113901051347829,113901052677982
53,0.530000000,center,0.000000000,2048,113901061347153,113901062677147
54,0.540000000,center,0.000000000,2048,113901071330900,113901072676672
55,0.550000000,center,0.000000000,2048,113901081326068,113901082660731
56,0.560000000,center,0.000000000,2048,113901091323927,113901092673047
57,0.570000000,center,0.000000000,2048,113901101324380,113901102677406
58,0.580000000,center,0.000000000,2048,113901111329188,113901112664797
59,0.590000000,center,0.000000000,2048,113901121343219,113901122673930
60,0.600000000,center,0.000000000,2048,113901131326756,113901132668735
61,0.610000000,center,0.000000000,2048,113901141330517,113901142663338
62,0.620000000,center,0.000000000,2048,113901151329975,113901152678011
63,0.630000000,center,0.000000000,2048,113901161325145,113901162660665
64,0.640000000,center,0.000000000,2048,113901171324354,113901172668576
65,0.650000000,center,0.000000000,2048,113901181326964,113901182666793
66,0.660000000,center,0.000000000,2048,113901191325177,113901191668691
67,0.670000000,center,0.000000000,2048,113901201325600,113901202667200
68,0.680000000,center,0.000000000,2048,113901211324148,113901212664897
69,0.690000000,center,0.000000000,2048,113901221323522,113901222663339
70,0.700000000,center,0.000000000,2048,113901231323608,113901232681344
71,0.710000000,center,0.000000000,2048,113901241338732,113901242679090
72,0.720000000,center,0.000000000,2048,113901251333074,113901252674080
73,0.730000000,center,0.000000000,2048,113901261326497,113901262669584
74,0.740000000,center,0.000000000,2048,113901271327166,113901272672897
75,0.750000000,center,0.000000000,2048,113901281341694,113901282685320
76,0.760000000,center,0.000000000,2048,113901291328425,113901292674880
77,0.770000000,center,0.000000000,2048,113901301398741,113901302722122
78,0.780000000,center,0.000000000,2048,113901311347613,113901312679241
79,0.790000000,center,0.000000000,2048,113901321340053,113901322680569
80,0.800000000,center,0.000000000,2048,113901331327066,113901332662909
81,0.810000000,center,0.000000000,2048,113901341326436,113901342653165
82,0.820000000,center,0.000000000,2048,113901351325912,113901352656827
83,0.830000000,center,0.000000000,2048,113901361324773,113901362650769
84,0.840000000,center,0.000000000,2048,113901371336584,113901372663184
85,0.850000000,center,0.000000000,2048,113901381324485,113901382648516
86,0.860000000,center,0.000000000,2048,113901391329470,113901392666540
87,0.870000000,center,0.000000000,2048,113901401328509,113901402647079
88,0.880000000,center,0.000000000,2048,113901411326398,113901412645246
89,0.890000000,center,0.000000000,2048,113901421413051,113901422661693
90,0.900000000,center,0.000000000,2048,113901431401375,113901432660788
91,0.910000000,center,0.000000000,2048,113901441405819,113901442658985
92,0.920000000,center,0.000000000,2048,113901451405791,113901452661462
93,0.930000000,center,0.000000000,2048,113901461403171,113901462658524
94,0.940000000,center,0.000000000,2048,113901471406532,113901472678262
95,0.950000000,center,0.000000000,2048,113901481407552,113901482660570
96,0.960000000,center,0.000000000,2048,113901491343717,113901492636922
97,0.970000000,center,0.000000000,2048,113901501330851,113901502643814
98,0.980000000,center,0.000000000,2048,113901511326790,113901512648985
