host_time_ns,tx_start_ns,tx_end_ns,rx_end_ns,cycle_index,time_s,phase,acquisition_kind,overrun_ns,q_cmd_rad,goal_position_tick,q_present_rad,present_position_tick,dq_present_rad_s,present_velocity_raw,current_A_joint,present_current_raw,pwm_percent,present_pwm_raw,position_trajectory_rad,position_trajectory_tick,velocity_trajectory_rad_s,velocity_trajectory_raw,input_voltage_V,temperature_C,realtime_tick_ms,moving,moving_status,hardware_error
113900532814530,113900531264691,113900531701013,113900532814530,0,0.000000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.010080000,3,-1.017000,9,0.000000000,2048,0.000000000,0,12.400,32,30916,0,1,
113900543835837,113900541338228,113900542703820,113900543835837,1,0.010000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-1.017000,9,0.000000000,2048,0.000000000,0,12.400,32,30928,0,1,
113900553802733,113900551350951,113900552713013,113900553802733,2,0.020000000,center,state,0,0.000000000,2048,0.003067962,2046,0.000000000,0,-0.010080000,3,-1.017000,9,0.000000000,2048,0.000000000,0,12.400,32,30937,0,1,
113900563800585,113900561409353,113900562703998,113900563800585,3,0.030000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.010080000,3,-1.130000,10,0.000000000,2048,0.000000000,0,12.400,32,30947,0,1,
113900573795767,113900571344047,113900572706447,113900573795767,4,0.040000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-1.017000,9,0.000000000,2048,0.000000000,0,12.400,32,30957,0,1,
113900583803695,113900581400707,113900582703033,113900583803695,5,0.050000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-1.017000,9,0.000000000,2048,0.000000000,0,12.400,32,30967,0,1,
113900593763349,113900591406883,113900592685427,113900593763349,6,0.060000000,center,state,0,0.000000000,2048,0.003067962,2046,0.000000000,0,-0.013440000,4,-1.243000,11,0.000000000,2048,0.000000000,0,12.400,32,30977,0,1,
113900603819929,113900601349081,113900602758330,113900603819929,7,0.070000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-1.130000,10,0.000000000,2048,0.000000000,0,12.400,32,30987,0,1,
113900613754245,113900611345137,113900612691417,113900613754245,8,0.080000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-1.243000,11,0.000000000,2048,0.000000000,0,12.400,32,30997,0,1,
113900623797293,113900621406652,113900622700413,113900623797293,9,0.090000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.010080000,3,-1.130000,10,0.000000000,2048,0.000000000,0,12.400,32,31007,0,1,
