time_sec,goal_position_rad,input_voltage_V,torque_enable,m3_position_rad,m3_velocity_rad_s,m3_pwm_fraction,m3_current_A,m3_motor_torque_Nm,m3_friction_torque_Nm,m3_friction_limit_Nm
0.0,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.002,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.003,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.004,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.005,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.006,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.007,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.008,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.009000000000000001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.01,4.31786314187943e-05,12.0,1,0.0,0.0,0.0001818926357537834,0.0009390450161745264,0.002081084980318342,-0.0018729764822865082,0.17203363210995712
0.011,4.31786314187943e-05,12.0,1,7.067970071796324e-09,7.067970071796324e-06,0.00018193851083902473,0.0009325429657309632,0.0020666753201994954,-0.0018797254963653569,0.17203136372040811
0.012,4.31786314187943e-05,12.0,1,2.0485381827276337e-08,1.3417411755480014e-05,0.0001819499480146505,0.0009265481988208704,0.0020533898874862413,-0.0018854839832054661,0.17202927193847606
0.013000000000000001,4.31786314187943e-05,12.0,1,3.960560353584113e-08,1.912022170856479e-05,0.00018193044077519256,0.0009210102019137074,0.002041116735522242,-0.0018903515426531767,0.17202733917895902
0.014,4.31786314187943e-05,12.0,1,6.384670791081139e-08,2.4241104374970263e-05,0.00018188313306460375,0.0009158835142228633,0.002029755115399213,-0.0018944178102500142,0.1720255496156583
0.015,4.31786314187943e-05,12.0,1,9.26849993690839e-08,2.8838291458272512e-05,0.00018181085424368357,0.0009111272222549524,0.002019214355791381,-0.0018977634540134382,0.17202388900541654
0.016,4.31786314187943e-05,12.0,1,1.2564918879152035e-07,3.296418942243644e-05,0.0001817161505595367,0.0009067045049218764,0.0020094128548457145,-0.0019004610715046026,0.17202234452975856
0.017,4.31786314187943e-05,12.0,1,1.6231515101132237e-07,3.6665962219802014e-05,0.00018160131346698366,0.0009025822241576095,0.0020002771729184313,-0.0019025759971579292,0.1720209046523733
