time_sec,goal_position_rad,input_voltage_V,torque_enable,m3_position_rad,m3_velocity_rad_s,m3_pwm_fraction,m3_current_A,m3_motor_torque_Nm,m3_friction_torque_Nm,m3_friction_limit_Nm
0.0,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.002,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.003,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.004,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.005,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.006,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.007,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.008,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.009000000000000001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.01,0.0037981601509102497,12.0,1,0.0,0.0,0.015999982819356905,0.08260204742831449,0.18306031903230907,-0.16475428712907816,0.2005188869154872
0.011,0.0037981601509102497,12.0,1,6.217261036865144e-07,0.0006217261036865144,0.016004018170060665,0.08203010181349352,0.1817927893526226,-0.1653479566246115,0.20031935055899158
0.012,0.0037981601509102497,12.0,1,1.8019737628524114e-06,0.001180247659165897,0.016005024228457454,0.08150277882886556,0.18062415108269547,-0.1658544954964324,0.20013534929452986
0.013000000000000001,0.0037981601509102497,12.0,1,3.483862738574555e-06,0.001681888975722144,0.016003308295897092,0.08101563510805984,0.17954455695976926,-0.16628266493392949,0.19996533625943264
0.014,0.0037981601509102497,12.0,1,5.616204446167268e-06,0.002132341707592713,0.015999146925902603,0.08056467174368948,0.17854514471850289,-0.16664034962753282,0.19980791931977923
0.015,0.0037981601509102497,12.0,1,8.152932587797762e-06,0.002536728141630494,0.015992789000040825,0.08014628982594416,0.17761793855686053,-0.1669346454494205,0.19966184559212397
0.016,0.0037981601509102497,12.0,1,1.105259074178127e-05,0.0028996581539835068,0.015984458496098204,0.07975725042887984,0.17675576045885955,-0.16717193836308325,0.1995259875135914
0.017,0.0037981601509102497,12.0,1,1.4277871210893494e-05,0.0032252804691122253,0.015974356979342134,0.07939463859948116,0.17595215038815012,-0.16735797543917058,0.19939933030545023
0.018000000000000002,0.0037981601509102497,12.0,1,1.7795200002003787e-05,0.0035173287911102937,0.01596266584456881,0.07905583094907771,0.1752012944650295,-0.16749792876726408,0.19928096069076834
