host_time_ns,tx_start_ns,tx_end_ns,rx_end_ns,cycle_index,time_s,phase,acquisition_kind,overrun_ns,q_cmd_rad,goal_position_tick,q_present_rad,present_position_tick,dq_present_rad_s,present_velocity_raw,current_A_joint,present_current_raw,pwm_percent,present_pwm_raw,position_trajectory_rad,position_trajectory_tick,velocity_trajectory_rad_s,velocity_trajectory_raw,input_voltage_V,temperature_C,realtime_tick_ms,moving,moving_status,hardware_error
112276783482272,112276779947656,112276781412985,112276783482272,0,0.000000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,3956,0,1,
112276793495467,112276790017313,112276791406641,112276793495467,1,0.010000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,3966,0,1,
112276803486084,112276800007347,112276801403516,112276803486084,2,0.020000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,3976,0,1,
112276813484383,112276810007318,112276811406139,112276813484383,3,0.030000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,3986,0,1,
112276823481500,112276820006683,112276821404873,112276823481500,4,0.040000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,3996,0,1,
112276833486925,112276830006549,112276831410901,112276833486925,5,0.050000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.452000,4,0.000000000,2048,0.000000000,0,12.500,38,4006,0,1,
112276843483372,112276840009544,112276841402318,112276843483372,6,0.060000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4016,0,1,
112276853479183,112276850006540,112276851407951,112276853479183,7,0.070000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4026,0,1,
112276863490356,112276860007540,112276861385467,112276863490356,8,0.080000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4036,0,1,
112276873471031,112276870006936,112276871386992,112276873471031,9,0.090000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4046,0,1,
112276883503841,112276880007031,112276881409982,112276883503841,10,0.100000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4056,0,1,
112276893468151,112276890008067,112276891382946,112276893468151,11,0.110000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4066,0,1,
112276903464130,112276900009231,112276901383261,112276903464130,12,0.120000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4076,0,1,
112276913465937,112276910006837,112276911386791,112276913465937,13,0.130000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4086,0,1,
112276923467643,112276920006302,112276921381161,112276923467643,14,0.140000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4096,0,1,
112276933468995,112276930006114,112276931382508,112276933468995,15,0.150000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,0.000000000,0,-0.565000,5,0.000000000,2048,0.000000000,0,12.500,38,4106,0,1,
112276943466070,112276940006581,112276941381083,112276943466070,16,0.160000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4116,0,1,
112276953464400,112276950006790,112276951382880,112276953464400,17,0.170000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4126,0,1,
112276963469010,112276960006916,112276961377099,112276963469010,18,0.180000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4136,0,1,
112276973460481,112276970006734,112276971380393,112276973460481,19,0.190000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.452000,4,0.000000000,2048,0.000000000,0,12.500,38,4146,0,1,
112276983458874,112276980006967,112276981376028,112276983458874,20,0.200000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4156,0,1,
112276993466853,112276990009612,112276991378119,112276993466853,21,0.210000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4166,0,1,
112277003461666,112277000009010,112277001382633,112277003461666,22,0.220000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4176,0,1,
112277013468492,112277010007447,112277011377942,112277013468492,23,0.230000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4186,0,1,
112277023460435,112277020006536,112277021381861,112277023460435,24,0.240000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,-0.226000,2,0.000000000,2048,0.000000000,0,12.500,38,4196,0,1,
112277033462603,112277030006228,112277031376926,112277033462603,25,0.250000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.226000,2,0.000000000,2048,0.000000000,0,12.500,38,4206,0,1,
112277043461848,112277040006464,112277041376340,112277043461848,26,0.260000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.226000,2,0.000000000,2048,0.000000000,0,12.500,38,4216,0,1,
112277053474947,112277050010009,112277051383925,112277053474947,27,0.270000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4226,0,1,
112277063476372,112277060007570,112277061385300,112277063476372,28,0.280000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4236,0,1,
112277073459213,112277070007647,112277071389100,112277073459213,29,0.290000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4246,0,1,
112277083466372,112277080006801,112277081382476,112277083466372,30,0.300000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4256,0,1,
112277093460173,112277090006275,112277091380293,112277093460173,31,0.310000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4266,0,1,
112277103461436,112277100006970,112277101388866,112277103461436,32,0.320000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4276,0,1,
112277113471945,112277110009035,112277111383117,112277113471945,33,0.330000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4286,0,1,
112277123477530,112277120006843,112277121387512,112277123477530,34,0.340000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.565000,5,0.000000000,2048,0.000000000,0,12.500,38,4296,0,1,
112277133464004,112277130006758,112277131381660,112277133464004,35,0.350000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4306,0,1,
112277143460641,112277140007115,112277141380682,112277143460641,36,0.360000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4316,0,1,
112277153468024,112277150007075,112277151386499,112277153468024,37,0.370000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4326,0,1,
112277163461372,112277160006856,112277161348425,112277163461372,38,0.380000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4336,0,1,
112277173460062,112277170007085,112277171386860,112277173460062,39,0.390000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4346,0,1,
112277183467519,112277180006491,112277181380382,112277183467519,40,0.400000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,0.000000000,0,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4356,0,1,
112277193472570,112277190006945,112277191379767,112277193472570,41,0.410000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,0.000000000,0,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4366,0,1,
112277203460044,112277200007062,112277201380218,112277203460044,42,0.420000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4376,0,1,
112277213463288,112277210007440,112277211382993,112277213463288,43,0.430000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4386,0,1,
112277223461533,112277220009189,112277221383069,112277223461533,44,0.440000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4396,0,1,
112277233459014,112277230006600,112277231378221,112277233459014,45,0.450000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4406,0,1,
112277243463748,112277240006543,112277241381911,112277243463748,46,0.460000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4416,0,1,
112277253458974,112277250006543,112277251378815,112277253458974,47,0.470000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4426,0,1,
112277263468533,112277260006829,112277261373540,112277263468533,48,0.480000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4436,0,1,
112277273464824,112277270006658,112277271388496,112277273464824,49,0.490000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4446,0,1,
112277283456897,112277280006889,112277281360089,112277283456897,50,0.500000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4456,0,1,
112277293465551,112277290006767,112277291365389,112277293465551,51,0.510000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4466,0,1,
112277303460652,112277300006751,112277301372920,112277303460652,52,0.520000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.452000,4,0.000000000,2048,0.000000000,0,12.500,38,4476,0,1,
112277313466793,112277310007410,112277311367991,112277313466793,53,0.530000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4486,0,1,
112277323446264,112277320007133,112277321358439,112277323446264,54,0.540000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4496,0,1,
112277333445893,112277330008741,112277331365994,112277333445893,55,0.550000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4506,0,1,
112277343442770,112277340006567,112277341367597,112277343442770,56,0.560000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,0.000000000,0,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4516,0,1,
112277353458826,112277350006456,112277351366014,112277353458826,57,0.570000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4526,0,1,
112277363442898,112277360007804,112277361364868,112277363442898,58,0.580000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4536,0,1,
112277373447848,112277370006847,112277371361513,112277373447848,59,0.590000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.452000,4,0.000000000,2048,0.000000000,0,12.500,38,4546,0,1,
112277383453253,112277380007431,112277381360595,112277383453253,60,0.600000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.565000,5,0.000000000,2048,0.000000000,0,12.500,38,4556,0,1,
112277393444771,112277390006777,112277391360844,112277393444771,61,0.610000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4566,0,1,
112277403446103,112277400007413,112277401362820,112277403446103,62,0.620000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4576,0,1,
112277413441202,112277410007263,112277411358780,112277413441202,63,0.630000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4586,0,1,
112277423453227,112277420006867,112277421358730,112277423453227,64,0.640000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4596,0,1,
112277433457419,112277430007190,112277431364534,112277433457419,65,0.650000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4606,0,1,
112277444464546,112277440041584,112277442372292,112277444464546,66,0.660000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4617,0,1,
112277453475277,112277450010398,112277451366155,112277453475277,67,0.670000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4626,0,1,
112277463451701,112277460007865,112277461369485,112277463451701,68,0.680000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4636,0,1,
112277473441177,112277470006970,112277471367613,112277473441177,69,0.690000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4646,0,1,
112277483439607,112277480006794,112277481369685,112277483439607,70,0.700000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4656,0,1,
112277493448845,112277490006840,112277491358959,112277493448845,71,0.710000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4666,0,1,
112277503446325,112277500006820,112277501360194,112277503446325,72,0.720000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4676,0,1,
112277513382154,112277510008646,112277511322228,112277513382154,73,0.730000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4686,0,1,
112277523391159,112277520007349,112277521306294,112277523391159,74,0.740000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4696,0,1,
112277533387855,112277530006846,112277531302126,112277533387855,75,0.750000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4706,0,1,
112277543385689,112277540007204,112277541300401,112277543385689,76,0.760000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4716,0,1,
112277553385674,112277550009639,112277551305127,112277553385674,77,0.770000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4726,0,1,
112277563384245,112277560006831,112277561303042,112277563384245,78,0.780000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4736,0,1,
112277573450293,112277570010961,112277571360443,112277573450293,79,0.790000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4746,0,1,
112277583446263,112277580007276,112277581366146,112277583446263,80,0.800000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4756,0,1,
112277593438965,112277590006771,112277591357810,112277593438965,81,0.810000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4766,0,1,
112277603451323,112277600006906,112277601366610,112277603451323,82,0.820000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4776,0,1,
112277613443779,112277610007432,112277611356370,112277613443779,83,0.830000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4786,0,1,
112277623444766,112277620006735,112277621369596,112277623444766,84,0.840000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4796,0,1,
112277633444590,112277630009502,112277631362044,112277633444590,85,0.850000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4806,0,1,
112277643447900,112277640007288,112277641355575,112277643447900,86,0.860000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4816,0,1,
112277653446136,112277650008799,112277651360496,112277653446136,87,0.870000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4826,0,1,
112277663446802,112277660006668,112277661358218,112277663446802,88,0.880000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.113000,1,0.000000000,2048,0.000000000,0,12.500,38,4836,0,1,
112277673447949,112277670006593,112277671359464,112277673447949,89,0.890000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4846,0,1,
112277683445522,112277680006768,112277681339643,112277683445522,90,0.900000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4856,0,1,
112277693421969,112277690006715,112277691359554,112277693421969,91,0.910000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.904000,8,0.000000000,2048,0.000000000,0,12.500,38,4866,0,1,
112277703422413,112277700009788,112277701338115,112277703422413,92,0.920000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4876,0,1,
112277713420892,112277710007739,112277711337672,112277713420892,93,0.930000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4886,0,1,
112277723420403,112277720007091,112277721357314,112277723420403,94,0.940000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4896,0,1,
112277733417861,112277730007034,112277731356907,112277733417861,95,0.950000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4906,0,1,
112277743421694,112277740006531,112277741336168,112277743421694,96,0.960000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.003360000,1,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4916,0,1,
112277753421875,112277750007054,112277751338198,112277753421875,97,0.970000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.791000,7,0.000000000,2048,0.000000000,0,12.500,38,4926,0,1,
112277763420328,112277760006474,112277761333877,112277763420328,98,0.980000000,center,state,0,0.000000000,2048,0.001533981,2047,0.000000000,0,-0.006720000,2,-0.678000,6,0.000000000,2048,0.000000000,0,12.500,38,4936,0,1,
112277773359418,112277770006573,112277771338754,112277773359418,99,0.990000000,center,hardware_error,0,0.000000000,2048,,,,,,,,,,,,,,,,,,0
