sequence,scheduled_time_s,phase,goal_rad,goal_tick,tx_start_ns,tx_end_ns
0,0.000000000,center,0.000000000,2048,113291417939466,113291419402249
1,0.010000000,center,0.000000000,2048,113291427999144,113291429385583
2,0.020000000,center,0.000000000,2048,113291438007451,113291439380367
3,0.030000000,center,0.000000000,2048,113291448076375,113291450392067
4,0.040000000,center,0.000000000,2048,113291458076927,113291460399539
5,0.050000000,center,0.000000000,2048,113291468027526,113291469391302
6,0.060000000,center,0.000000000,2048,113291478076937,113291480390403
7,0.070000000,center,0.000000000,2048,113291488078629,113291490394358
8,0.080000000,center,0.000000000,2048,113291498087234,113291500395693
9,0.090000000,center,0.000000000,2048,113291508030706,113291509393884
10,0.100000000,center,0.000000000,2048,113291518081874,113291520396338
11,0.110000000,center,0.000000000,2048,113291528090530,113291530395912
12,0.120000000,center,0.000000000,2048,113291538035712,113291540381390
13,0.130000000,center,0.000000000,2048,113291548077893,113291550392760
14,0.140000000,center,0.000000000,2048,113291558078930,113291560396368
15,0.150000000,center,0.000000000,2048,113291568027843,113291569407379
16,0.160000000,center,0.000000000,2048,113291578087457,113291580396871
17,0.170000000,center,0.000000000,2048,113291588078702,113291590392665
18,0.180000000,center,0.000000000,2048,113291598081244,113291600410342
19,0.190000000,center,0.000000000,2048,113291608077743,113291610397234
20,0.200000000,center,0.000000000,2048,113291618083349,113291620375556
21,0.210000000,center,0.000000000,2048,113291628084768,113291630386137
22,0.220000000,center,0.000000000,2048,113291638075035,113291640390341
23,0.230000000,center,0.000000000,2048,113291648086350,113291650378272
24,0.240000000,center,0.000000000,2048,113291658086843,113291660373192
25,0.250000000,center,0.000000000,2048,113291668078321,113291670407419
26,0.260000000,center,0.000000000,2048,113291678086734,113291680368570
27,0.270000000,center,0.000000000,2048,113291688081330,113291690374470
28,0.280000000,center,0.000000000,2048,113291698078648,113291700373361
29,0.290000000,center,0.000000000,2048,113291708093726,113291710428791
30,0.300000000,center,0.000000000,2048,113291718009852,113291719368001
31,0.310000000,center,0.000000000,2048,113291727998858,113291729366050
32,0.320000000,center,0.000000000,2048,113291737999683,113291739360780
33,0.330000000,center,0.000000000,2048,113291747999551,113291749363972
34,0.340000000,center,0.000000000,2048,113291757998456,113291759364377
35,0.350000000,center,0.000000000,2048,113291767998793,113291769361319
36,0.360000000,center,0.000000000,2048,113291778007762,113291779370410
37,0.370000000,center,0.000000000,2048,113291787999183,113291789367202
38,0.380000000,center,0.000000000,2048,113291797998834,113291799364053
39,0.390000000,center,0.000000000,2048,113291807999286,113291809364655
40,0.400000000,center,0.000000000,2048,113291817999019,113291819362824
41,0.410000000,center,0.000000000,2048,113291827998774,113291829364142
42,0.420000000,center,0.000000000,2048,113291837998636,113291840551253
43,0.430000000,center,0.000000000,2048,113291848024217,113291850441649
44,0.440000000,center,0.000000000,2048,113291858076346,113291860562545
45,0.450000000,center,0.000000000,2048,113291868090276,113291870543852
46,0.460000000,center,0.000000000,2048,113291878083766,113291880545932
47,0.470000000,center,0.000000000,2048,113291888085962,113291890548406
48,0.480000000,center,0.000000000,2048,113291898085346,113291900547459
49,0.490000000,center,0.000000000,2048,113291908074445,113291910566530
50,0.500000000,center,0.000000000,2048,113291918085782,113291920573336
51,0.510000000,center,0.000000000,2048,113291928076891,113291930541232
52,0.520000000,center,0.000000000,2048,113291938088295,113291940444348
53,0.530000000,center,0.000000000,2048,113291948077314,113291950416349
54,0.540000000,center,0.000000000,2048,113291958080893,113291960566344
55,0.550000000,center,0.000000000,2048,113291968080893,113291970571678
56,0.560000000,center,0.000000000,2048,113291978076062,113291980550129
57,0.570000000,center,0.000000000,2048,113291988085932,113291990557592
58,0.580000000,center,0.000000000,2048,113291998078237,113292000551423
