time_sec,goal_position_rad,input_voltage_V,torque_enable,m3_position_rad,m3_velocity_rad_s,m3_pwm_fraction,m3_current_A,m3_motor_torque_Nm,m3_friction_torque_Nm,m3_friction_limit_Nm
0.019,0.013815700494469577,12.0,1,0.000508040420054485,0.09344337815791688,0.057059470910409714,0.20548446466527268,0.455388853290263,-0.24335484804235424,0.24335484804235424
0.02,0.027587606633744446,12.0,1,0.0006086909658777954,0.1006505458233105,0.11472761362061053,0.4963323472814576,1.0999576967901368,-0.3448014669364564,0.3448014669364564
0.021,0.027587606633744446,12.0,1,0.0007349958544087691,0.12630488853097363,0.11447012807273635,0.4705431624961572,1.0428044355652581,-0.3357990504993634,0.3357990504993634
0.022,0.027587606633744446,12.0,1,0.0008853212036966923,0.15032534928792318,0.11409396722202697,0.44569910932592993,0.9877457482688644,-0.3271250223532657,0.3271250223532657
0.023,0.027587606633744446,12.0,1,0.0010580933944118582,0.17277219071516592,0.11360640503467954,0.4217802837878536,0.9347375242574885,-0.31877252404341605,0.31877252404341605
0.024,0.027587606633744446,12.0,1,0.0012517977864523896,0.19370439204053128,0.11301445328695973,0.3987666519471091,0.8837353648919484,-0.31073464862485406,0.31073464862485406
0.025,0.027587606633744446,12.0,1,0.0014649774280988594,0.21317964164646994,0.11232486692320538,0.3766380846836182,0.8346946605861858,-0.3030044528587356,0.3030044528587356
0.026000000000000002,0.027587606633744446,12.0,1,0.001696231759904356,0.23125433180549665,0.11154414945942205,0.3553743906082674,0.787570663755269,-0.2955749687634863,0.2955749687634863
0.027,0.027587606633744446,12.0,1,0.00194421531539021,0.24798355548585393,0.11067855842249252,0.33495534718916137,0.7423185577965148,-0.28843921454175003,0.28843921454175003
0.028,0.027587606633744446,12.0,1,0.0022076364205040446,0.2634211051138343,0.1097341108155427,0.31536073014735627,0.698893522235481,-0.2815902049037651,0.2815902049037651
0.029,0.027587606633744446,12.0,1,0.00248525589368704,0.2776194731829956,0.10871658860050849,0.29657034118049247,0.6572507941662954,-0.275020960807446,0.275020960807446
0.03,0.04127216742990539,12.0,1,0.002775885748291273,0.2906298546042331,0.1652785966910388,0.5761746389455565,1.2769019232269567,-0.37253546927679215,0.37253546927679215
0.031,0.04127216742990539,12.0,1,0.0030972626244617617,0.3213768761704884,0.16425386598007508,0.5415688838973232,1.200209628584003,-0.3604472478054776,0.3604472478054776
0.032,0.04127216742990539,12.0,1,0.003447196096910812,0.34993347244905,0.16308539446589276,0.5083094872543978,1.1265010953232522,-0.3488271253107209,0.3488271253107209
0.033,0.04127216742990539,12.0,1,0.0038235815098424516,0.37638541293163974,0.16178296614154422,0.47636518410706236,1.0557070350369024,-0.33766430894940913,0.33766430894940913
0.034,0.04127216742990539,12.0,1,0.0042243979659291565,0.4008164560867051,0.16035599063816458,0.44570469424262443,0.9877581254031329,-0.3269479960520387,0.3269479960520387
0.035,0.04127216742990539,12.0,1,0.004647706315439021,0.4233083495098645,0.15881351169750724,0.41629676574257246,0.9225851068048855,-0.31666738943779893,0.31666738943779893
0.036000000000000004,0.04127216742990539,12.0,1,0.005091647148251432,0.4439408328124112,0.15716421566161715,0.3881102160576314,0.8601188733592404,-0.30681171184972955,0.30681171184972955
0.037,0.04127216742990539,12.0,1,0.0055544387913393995,0.46279164308796683,0.15541643996706955,0.36111397064827755,0.8002905585514307,-0.29737021954035836,0.29737021954035836
0.038,0.04127216742990539,12.0,1,0.006034375314142363,0.47993652280296356,0.15357818163191256,0.3352770992766096,0.74303161566386,-0.2883322150376546,0.2883322150376546
0.039,0.04127216742990539,12.0,1,0.006529824544104474,0.4954492299621115,0.15165710572413588,0.31056885003378415,0.6882738931867414,-0.2796870591205508,0.2796870591205508
0.04,0.05482631724758827,12.0,1,0.007039226094509854,0.5094015504053802,0.2067582420494854,0.581733119757426,1.2892204710406638,-0.3742458362072689,0.3742458362072689
0.041,0.05482631724758827,12.0,1,0.007579784259930954,0.5405581654211008,0.20481458062966543,0.5419927393858488,1.2011489651182508,-0.3603548345461245,0.3603548345461245
0.042,0.05482631724758827,12.0,1,0.008148985906497402,0.5692016465664476,0.20272335840959158,0.503886679505793,1.1166993940012504,-0.3470323727534445,0.3470323727534445
0.043000000000000003,0.05482631724758827,12.0,1,0.008744421933765779,0.5954360272683754,0.20049583735520424,0.4673738918701008,1.0357807877263945,-0.3342642617514401,0.3342642617514401
0.044,0.05482631724758827,12.0,1,0.009363784639148404,0.6193627053826254,0.19814282407891204,0.43241349026772036,0.9583025354302454,-0.3220363635494933,0.3220363635494933
0.045,0.05482631724758827,12.0,1,0.010004865093975562,0.6410804548271568,0.1956746810176049,0.39896479713990857,0.8841744886587057,-0.3103346076449489,0.3103346076449489
0.046,0.05482631724758827,12.0,1,0.010665550534112524,0.660685440136962,0.19310133758062223,0.3669873872559603,0.8133070581599321,-0.29914500639741615,0.29914500639741615
0.047,0.05482631724758827,12.0,1,0.011343821767866502,0.6782712337539777,0.19043230125415964,0.3364411285562937,0.7456113043996248,-0.2884536694140538,0.2884536694140538
0.048,0.05482631724758827,12.0,1,0.012037750603739185,0.6939288358726831,0.1876766686494294,0.3072862202684642,0.6809990220326586,-0.2782468169825353,0.2782468169825353
0.049,0.05482631724758827,12.0,1,0.012745497300407884,0.707746696668698,0.18484313648268674,0.279483228399375,0.619382818559916,-0.2685107925875928,0.2685107925875928
0.05,0.06820771503312448,12.0,1,0.013465308041152164,0.7198107407442792,0.23830997218301017,0.5440105615244836,1.2056208054169977,-0.3607432334152292,0.3607432334152292
0.051000000000000004,0.06820771503312448,12.0,1,0.01421396901614167,0.7486609749895059,0.23546497942782424,0.5018159339087385,1.112110266232226,-0.3459850029887136,0.3459850029887136
0.052000000000000005,0.06820771503312448,12.0,1,0.014988814225959136,0.7748452098174677,0.23248114945994322,0.46144641162532685,1.0226444738159224,-0.3318619932165012,0.3318619932165012
0.053,0.06820771503312448,12.0,1,0.015787293771332242,0.7984795453731051,0.22937046652056814,0.42285317037571973,0.9371152251399116,-0.3183573101966749,0.3183573101966749
0.054,0.06820771503312448,12.0,1,0.016606970722506127,0.8196769511738848,0.2261444054523857,0.3859877408895884,0.8554151039794645,-0.30545417781160866,0.30545417781160866
0.055,0.06820771503312448,12.0,1,0.017445518012644268,0.8385472901381408,0.22281394504348584,0.35080205490497424,0.7774375828132492,-0.2931359539324291,0.2931359539324291
0.056,0.06820771503312448,12.0,1,0.018300715358132352,0.8551973454880829,0.21938958128871708,0.317248487981397,0.7030771177045295,-0.2813861455173163,0.2813861455173163
0.057,0.06820771503312448,12.0,1,0.01917044620845933,0.8697308503269794,0.215881340555068,0.28527989926781955,0.6322292364338028,-0.27018842264603765,0.27018842264603765
0.058,0.06820771503312448,12.0,1,0.020052694728157107,0.882248519697778,0.21229879263855878,0.25484966834461625,0.5647906201469268,-0.2595266315321526,0.2595266315321526
0.059000000000000004,0.06820771503312448,12.0,1,0.02094554281309513,0.8928480849380223,0.20865106370098835,0.22591172925589914,0.5006591787765979,-0.24938480655335843,0.24938480655335843
0.06,0.08137497942905965,12.0,1,0.02184716714324846,0.901624330153327,0.2604147587325482,0.48478109085082843,1.074358129306654,-0.33963392631094774,0.33963392631094774
0.061,0.08137497942905965,12.0,1,0.022773997507152144,0.9268303639036867,0.2567802121670497,0.4419848134732478,0.9795142309525116,-0.3246562902222524,0.3246562902222524
0.062,0.08137497942905965,12.0,1,0.02372333213113851,0.9493346239863656,0.2530219476122462,0.401125805045237,0.8889636531999852,-0.3103531971556106,0.3103531971556106
0.063,0.08137497942905965,12.0,1,0.024692592405737825,0.9692602745993137,0.24915214586022635,0.36214952083645346,0.8025855155618604,-0.2967057594053637,0.2967057594053637
0.064,0.08137497942905965,12.0,1,0.025679319391864706,0.9867269861268825,0.24518244618952595,0.325001951622829,0.7202601243247677,-0.2836952696408862,0.2836952696408862
0.065,0.08137497942905965,12.0,1,0.02668117036256952,1.0018509707048142,0.24112396131386876,0.2896296669523465,0.6418690684335722,-0.27130321618281505,0.27130321618281505
0.066,0.08137497942905965,12.0,1,0.027695915383052633,1.0147450204831114,0.2369872921985989,0.2559798551554942,0.5672953081614095,-0.2595112971417746,0.2595112971417746
0.067,0.08137497942905965,12.0,1,0.02872143393143346,1.0255185483808265,0.23278254273210175,0.22400036023118178,0.49642325685520866,-0.2483014334650946,0.2483014334650946
0.068,0.08137497942905965,12.0,1,0.029755711562568603,1.0342776311351438,0.22851933424043477,0.1936397157357332,0.4291388560395188,-0.23765578093591866,0.23765578093591866
0.069,0.08137497942905965,12.0,1,0.030796836617023846,1.0411250544552437,0.22420681983427226,0.16484717579939734,0.36532964415442193,-0.22755674116800545,0.22755674116800545
0.07,0.09428791843894768,12.0,1,0.03184299697712321,1.0461603600993599,0.2742502469322209,0.41840218663618095,0.9272510809844692,-0.3159444066019771,0.3159444066019771
0.07100000000000001,0.09428791843894768,12.0,1,0.03291028732131795,1.0672903441947414,0.2699803776212894,0.37621224030355443,0.8337509163268169,-0.30117075662834214,0.30117075662834214
0.07200000000000001,0.09428791843894768,12.0,1,0.03399604620582951,1.0857588845115609,0.26560422269404205,0.3360111077364535,0.744658304432659,-0.2870898467740693,0.2870898467740693
0.073,0.09428791843894768,12.0,1,0.03509773856577327,1.101692359943765,0.26113381391561147,0.2977404098126322,0.6598438671439971,-0.2736814495164317,0.2736814495164317
0.074,0.09428791843894768,12.0,1,0.03621295197874509,1.1152134129718216,0.256580626420864,0.26134245617854096,0.5791797527325185,-0.26092557100329294,0.26092557100329294
0.075,0.09428791843894768,12.0,1,0.037339392973733954,1.1264409949888639,0.2519555947484629,0.2267602848115511,0.5025397235762785,-0.24880246504991582,0.24880246504991582
0.076,0.09428791843894768,12.0,1,0.03847488338782067,1.1354904140867208,0.24726912869995876,0.19393769833350316,0.42979923663675745,-0.23729264600013533,0.23729264600013533
0.077,0.09428791843894768,12.0,1,0.03961735677291709,1.1424733850964188,0.24253112901221024,0.16281929721104835,0.3608355170365182,-0.22637690049903275,0.22637690049903275
0.078,0.09428791843894768,12.0,1,0.04076485485460344,1.14749808168635,0.23775100283236278,0.13335050997480352,0.2955276250300417,-0.21603629822305512,0.21603629822305512
0.079,0.09428791843894768,12.0,1,0.04191552404493314,1.1506691903297048,0.2329376789854919,0.10547762058587953,0.23375651665265212,-0.2062522016123246,0.2062522016123246
0.08,0.1069077523382831,12.0,1,0.04306761201089409,1.1520879659609469,0.28126144810691905,0.35360281257708015,0.7836445426762337,-0.2927402169757247,0.2927402169757247
0.081,0.1069077523382831,12.0,1,0.044236870477994544,1.1692584671004558,0.2765196529905076,0.31275161643148136,0.6931112782828218,-0.27842810694639253,0.27842810694639253
0.082,0.1069077523382831,12.0,1,0.04542072426472183,1.1838537867272891,0.2716888117132496,0.2738959891310889,0.6070005370692553,-0.2648113023792264,0.2648113023792264
0.083,0.1069077523382831,12.0,1,0.04661672494465586,1.1960006799340308,0.2667805950969265,0.23697532945252028,0.5251780163199049,-0.2518687959841877,0.2518687959841877
0.084,0.1069077523382831,12.0,1,0.0478225469702933,1.2058220256374386,0.2618061148411575,0.20192984533138075,0.447511206554383,-0.239579856117214,0.239579856117214
0.085,0.1069077523382831,12.0,1,0.04903598384983777,1.213436879544469,0.2567759401958081,0.16870058943586205,0.3738694703647451,-0.22792403939300931,0.22792403939300931
0.08600000000000001,0.1069077523382831,12.0,1,0.050254944379161184,1.2189605293234134,0.25170011442458673,0.13722949155988215,0.30412411420425,-0.21688120218564622,0.21688120218564622
0.08700000000000001,0.1069077523382831,12.0,1,0.05147744893094032,1.2225045517791369,0.24658817104923894,0.10745938797273265,0.2381484534312168,-0.2064315110646467,0.2064315110646467
0.088,0.1069077523382831,12.0,1,0.05270162580278045,1.224176871840126,0.24144914986464616,0.07933404785854448,0.17581787090342066,-0.19655545221294138,0.19655545221294138
0.089,0.1069077523382831,12.0,1,0.05392570762595398,1.224081823173529,0.23629161271600463,0.052798196975265596,0.11700986941044927,-0.1872338398718557,0.1872338398718557
0.09,0.11919732856581089,12.0,1,0.0551480278362066,1.222320210252621,0.28289425339285973,0.29507014383807006,0.6539260992868664,-0.2716764345641494,0.2716764345641494
0.091,0.11919732856581089,12.0,1,0.05638396787085393,1.235940034647334,0.2778335547543802,0.25595792357759906,0.5672467040193651,-0.25796737400466374,0.25796737400466374
0.092,0.11919732856581089,12.0,1,0.0576310637175706,1.2470958467166737,0.2726994889491337,0.21881622389198477,0.48493432066408115,-0.2449450676203073,0.2449450676203073
0.093,0.11919732856581089,12.0,1,0.05888697648410875,1.2559127665381407,0.26750324787971125,0.18358352996266816,0.4068526218216194,-0.23258818351773464,0.23258818351773464
0.094,0.11919732856581089,12.0,1,0.06014948846566161,1.2625119815528572,0.2622554708476827,0.1501992236280996,0.3328672672384641,-0.2208756960558206,0.2208756960558206
0.095,0.11919732856581089,12.0,1,0.061416499270721014,1.2670108050594036,0.25696626149972657,0.11860361510002254,0.2628459740957095,-0.20978689711605913,0.20978689711605913
0.096,0.11919732856581089,12.0,1,0.06268602200738838,1.269522736667357,0.2516452045400708,0.08873797160484635,0.19665858048325893,-0.1993014062973375,0.1993014062973375
0.097,0.11919732856581089,12.0,1,0.06395617953190466,1.270157524516284,0.24630138219972766,0.060544543086183365,0.13417710236106026,-0.18939918008244727,0.18939918008244727
0.098,0.11919732856581089,12.0,1,0.06522520076097925,1.269021229074589,0.24094339045388227,0.033966585100895015,0.07527578430067487,-0.18006052002240225,0.18006052002240225
0.099,0.11919732856581089,12.0,1,0.0664914170493203,1.2662162883410413,0.23557935497962768,0.008948379037275519,0.019831144292243953,-0.17214607884564614,0.17214607884564614
0.1,0.13112132737502102,12.0,1,0.06775322874627861,1.2618116969583135,0.280447329905489,0.24478480424377325,0.5424851532646908,-0.253461808332165,0.253461808332165
0.101,0.13112132737502102,12.0,1,0.0690256395450026,1.2724107987239917,0.2752006647726569,0.20759258547175283,0.4600608109403178,-0.2404205741056291,0.2404205741056291
0.10200000000000001,0.13112132737502102,12.0,1,0.07030630767545608,1.2806681304534802,0.2698941508735234,0.17232412711093958,0.3818998519772705,-0.22804994025326344,0.22804994025326344
0.10300000000000001,0.13112132737502102,12.0,1,0.07159301348294217,1.286705807486096,0.2645384456550973,0.1389180199826083,0.3078661830921625,-0.21632860525123995,0.21632860525123995
