time_sec,goal_position_rad,input_voltage_V,torque_enable,m3_position_rad,m3_velocity_rad_s,m3_pwm_fraction,m3_current_A,m3_motor_torque_Nm,m3_friction_torque_Nm,m3_friction_limit_Nm
0.018000000000000002,-5.3829234625930794e-05,12.0,1,-2.5220158130869233e-07,-4.984916623587934e-05,-0.00022623008268798266,-0.001120414807070726,-0.0024830315762921916,0.0023738560115243467,0.1720968830391522
0.019,-5.3829234625930794e-05,12.0,1,-3.057615843033511e-07,-5.356000299465877e-05,-0.0002260441754241566,-0.0011159169751137846,-0.002473063608443623,0.0023752523409161412,0.17209531125847097
0.02,-0.00021530365694550553,12.0,1,-3.6264707892875926e-07,-5.6885494625408125e-05,-0.0009060610524834295,-0.0046234242331697865,-0.010246301895607145,0.009380460429380068,0.17331877826348457
0.021,-0.00021530365694550553,12.0,1,-4.489432632007817e-07,-8.629618427202243e-05,-0.0009060123106965697,-0.004595131263797675,-0.010183599817863553,0.00940609379444628,0.17330890463467669
0.022,-0.00021530365694550553,12.0,1,-5.616510065687225e-07,-0.00011270774336794079,-0.0009058202085365521,-0.004568957668947757,-0.010125594637936183,0.009427596625649048,0.1732997688591701
0.023,-0.00021530365694550553,12.0,1,-6.980712892181981e-07,-0.00013642028264947563,-0.00090549932791175,-0.004544692592032735,-0.010071819061425657,0.009445384665900136,0.17329129753175773
0.024,-0.00021530365694550553,12.0,1,-8.557751803382995e-07,-0.00015770389112010146,-0.0009050627916377711,-0.00452214626763063,-0.010021852535576074,0.009459832065127623,0.17328342458966403
0.025,-0.00021530365694550553,12.0,1,-1.0325768196135212e-06,-0.0001768016392752216,-0.0009045224093984611,-0.004501147911632771,-0.009975316573480728,0.00947127554103742,0.1732760905780457
0.026000000000000002,-0.00021530365694550553,12.0,1,-1.226509101512818e-06,-0.00019393228189929691,-0.000903888809105695,-0.0044815438224508645,-0.00993187054603096,0.009480018123652914,0.1732692419889681
0.027,-0.00021530365694550553,12.0,1,-1.435801792001438e-06,-0.00020929269048862014,-0.0009031715551185887,-0.004463195672169836,-0.00989120789481747,0.009486332525269522,0.17326283066650744
0.028,-0.00021530365694550553,12.0,1,-1.6588618343480776e-06,-0.0002230600423466395,-0.000902379254636649,-0.004445978968645213,-0.00985305272387407,0.009490464173295764,0.17325681327136308
0.029,-0.00021530365694550553,12.0,1,-1.8942556250411735e-06,-0.000235393790693096,-0.0009015196534498824,-0.004429781671444634,-0.009817156732366446,0.009492633939704058,0.1732511507990279
0.03,-0.0004843834255612628,12.0,1,-2.140693062734435e-06,-0.00024643743769326153,-0.002034114767245448,-0.010266425699914776,-0.02275216199185494,0.021165019581402798,0.17528704476270215
0.031,-0.0004843834255612628,12.0,1,-2.4410592334329207e-06,-0.000300366170698486,-0.0020334266620974932,-0.01021145544402498,-0.02263033846696947,0.02120590039179736,0.17526785423030203
0.032,-0.0004843834255612628,12.0,1,-2.7898316985393677e-06,-0.00034877246510644686,-0.002032475535130696,-0.010160392617760082,-0.02251717447699869,0.021239185215239077,0.17525002407216667
0.033,-0.0004843834255612628,12.0,1,-3.18204066413621e-06,-0.00039220896559684213,-0.002031288236930255,-0.010112848927205053,-0.02241180949596078,0.021265639613649717,0.17523341911205656
0.034,-0.0004843834255612628,12.0,1,-3.613213696829203e-06,-0.00043117303269299303,-0.002029888931206579,-0.010068474917231346,-0.022313469071292984,0.02128595255669524,0.17521791769461278
0.035,-0.0004843834255612628,12.0,1,-4.079325969943057e-06,-0.00046611227311385426,-0.0020282993635782768,-0.010026956086265125,-0.02222145621351097,0.02130074408370843,0.17520341033279804
0.036000000000000004,-0.0004843834255612628,12.0,1,-4.576755486840228e-06,-0.0004974295168971709,-0.0020265391034674286,-0.009988009389714671,-0.022135143647203603,0.021310572199150817,0.17518979849064065
0.037,-0.0004843834255612628,12.0,1,-5.1022427834762704e-06,-0.000525487296636042,-0.0020246257617968577,-0.009951380093177465,-0.0220539668371996,0.021315939078287043,0.17517699348774696
0.038,-0.0004843834255612628,12.0,1,-5.652854662111251e-06,-0.0005506118786349804,-0.0020225751869100525,-0.00991683894043678,-0.02197741771236173,0.021317296652074408,0.17516491551340088
0.039,-0.0004843834255612628,12.0,1,-6.2259515529204646e-06,-0.0005730968908092137,-0.0020204016408922336,-0.009884179604757721,-0.02190503901722127,0.021315051633367894,0.17515349273928793
0.04,-0.0008610021490666188,12.0,1,-6.819158140587482e-06,-0.0005932065876670172,-0.0036046474530901772,-0.018043886726388736,-0.0399883509374529,0.03764630857825418,0.17799968664691104
0.041,-0.0008610021490666188,12.0,1,-7.4919861705408695e-06,-0.0006728280299533875,-0.0036026653216847523,-0.017957739425681088,-0.03979743372846967,0.037696787003772964,0.17796960113929503
0.042,-0.0008610021490666188,12.0,1,-8.236244926573257e-06,-0.0007442587560323872,-0.003600294617728806,-0.017877395425283372,-0.03961937762934087,0.03773601496779977,0.17794153607937419
0.043000000000000003,-0.0008610021490666188,12.0,1,-9.044563417752372e-06,-0.0008083184911791146,-0.0035975751655934673,-0.017802278764810126,-0.03945290621296578,0.03776512798544218,0.177915290958792
0.044,-0.0008610021490666188,12.0,1,-9.910308376594063e-06,-0.00086574495884169,-0.003594542804269023,-0.01773187109265233,-0.03929687072318311,0.037785147964166294,0.17789068532443728
0.045,-0.0008610021490666188,12.0,1,-1.0827510460290353e-05,-0.0009172020836962896,-0.003591229786045069,-0.017665705903094592,-0.03915023730323327,0.03779699456856543,0.1778675567722217
0.046,-0.0008610021490666188,12.0,1,-1.179079783439979e-05,-0.0009632873741094378,-0.00358766513530869,-0.017603363349922456,-0.039012075501821696,0.03780149544825429,0.17784575914154965
0.047,-0.0008610021490666188,12.0,1,-1.2795336400495354e-05,-0.0010045385660955642,-0.0035838749714502396,-0.017544465578850452,-0.03888154792897806,0.0377993954426151,0.1778251608904045
0.048,-0.0008610021490666188,12.0,1,-1.3836776003141513e-05,-0.00104143960264616,-0.0035798827994672454,-0.01748867252687089,-0.03875790094669195,0.03779136486474716,0.17780564363298293
0.049,-0.0008610021490666188,12.0,1,-1.4911202018058159e-05,-0.0010744260149166448,-0.003575709771497736,-0.017435678141814733,-0.038640456290810754,0.03777800695673109,0.17778710082361723
0.05,-0.0013450669024269808,12.0,1,-1.601509178316428e-05,-0.0011038897651061183,-0.005610527414317003,-0.027912603963563924,-0.06185912269338008,0.05875733184521071,0.18144154727922732
0.051000000000000004,-0.0013450669024269808,12.0,1,-1.7224512618987504e-05,-0.0012094208358232256,-0.005606562166676897,-0.027791515279597934,-0.06159076938001634,0.05881055509096871,0.18139924494240628
0.052000000000000005,-0.0013450669024269808,12.0,1,-1.852855683802099e-05,-0.001304044219033486,-0.005602081565920033,-0.027678165843962044,-0.06133956756970231,0.05884881756150072,0.18135963709725705
0.053,-0.0013450669024269808,12.0,1,-1.9917408473561957e-05,-0.001388851635540965,-0.0055971386472293,-0.027571788567382672,-0.061103817260906294,0.058873631515518894,0.18132245669791058
0.054,-0.0013450669024269808,12.0,1,-2.1382234068477386e-05,-0.0014648255949154282,-0.005591781138004582,-0.027471693084827317,-0.06088198848618763,0.05888635790747132,0.18128746340837737
0.055,-0.0013450669024269808,12.0,1,-2.2915084388918793e-05,-0.0015328503204414072,-0.005586051988830829,-0.027377258080412675,-0.06067270430287529,0.058888221523307915,0.18125444093063092
0.056,-0.0013450669024269808,12.0,1,-2.45088059701086e-05,-0.0015937215811898085,-0.0055799898513307225,-0.02728792438009062,-0.06047472548527414,0.05888032460213955,0.18122319459997638
0.057,-0.0013450669024269808,12.0,1,-2.615696151064668e-05,-0.0016481555405380797,-0.005573629508215332,-0.02720318873530742,-0.06028693674818644,0.05886365909525416,0.18119354922096625
0.058,-0.0013450669024269808,12.0,1,-2.78537582301752e-05,-0.0016967967195285186,-0.005567002260314639,-0.027122598228514684,-0.060108334348563636,0.058839117698802075,0.18116534711980073
0.059000000000000004,-0.0013450669024269808,12.0,1,-2.9593983393787103e-05,-0.0017402251636119042,-0.005560136274891461,-0.02704574523832512,-0.059938014927427036,0.05880750378282638,0.18113844639155566
0.06,-0.0019364582499076868,12.0,1,-3.137294628625292e-05,-0.001778962892465813,-0.008044329258161698,-0.03983378906635277,-0.08827851562735818,0.08442255547047649,0.18559900857219852
0.061,-0.0019364582499076868,12.0,1,-3.3283231660870526e-05,-0.0019102853746176094,-0.00803768762423581,-0.03967429261276728,-0.08792504410229435,0.08447133023070809,0.18554327147469904
0.062,-0.0019364582499076868,12.0,1,-3.531120015766212e-05,-0.002027968496791596,-0.008030404259204446,-0.03952448745057988,-0.08759305014286482,0.08450142495594005,0.18549090853416164
0.063,-0.0019364582499076868,12.0,1,-3.7444577646715375e-05,-0.002133377489053258,-0.008022545480816805,-0.03938341428881802,-0.0872804077955739,0.08451473072710412,0.1854415857936993
0.064,-0.0019364582499076868,12.0,1,-3.9672318656045556e-05,-0.002227741009330182,-0.008014170969276948,-0.03925020978266059,-0.08698520374007054,0.08451294941438793,0.18539500269799564
0.065,-0.0019364582499076868,12.0,1,-4.1984483461455755e-05,-0.002312164805410198,-0.008005334431236315,-0.039124096935490085,-0.0867057160184479,0.08449761260499414,0.18535088875198796
0.066,-0.0019364582499076868,12.0,1,-4.437212747171707e-05,-0.002387644010261315,-0.007996084197363761,-0.039004376461075435,-0.08644039489235758,0.08447009863746052,0.18530900051379842
0.067,-0.0019364582499076868,12.0,1,-4.68272016791062e-05,-0.0024550742073891304,-0.007986463760137636,-0.03889041900983909,-0.08618784561508286,0.08443164793195168,0.18526911888847794
0.068,-0.0019364582499076868,12.0,1,-4.9342463068377225e-05,-0.002515261389271029,-0.007976512257839831,-0.03878165817276948,-0.0859468129270074,0.0843833767869845,0.18523104669246998
0.069,-0.0019364582499076868,12.0,1,-5.191139398797548e-05,-0.0025689309195982587,-0.007966264910133448,-0.0386775841851872,-0.08571616710208022,0.08432628979599804,0.18519460646171357
0.07,-0.0026350302745429097,12.0,1,-5.4528129586955455e-05,-0.0026167355989799713,-0.010898530951864441,-0.053770220203798944,-0.11916403977137831,0.1145635245649618,0.1904589993462916
0.07100000000000001,-0.0026350302745429097,12.0,1,-5.730174273448038e-05,-0.002773613147524923,-0.010888526015675113,-0.05356899502601082,-0.11871809022908403,0.11460061754240955,0.19038866038231672
0.07200000000000001,-0.0026350302745429097,12.0,1,-6.021585998054694e-05,-0.002914117246066562,-0.010877753950318297,-0.05337942054668491,-0.11829796063488841,0.11461531909622055,0.1903223778220619
0.073,-0.0026350302745429097,12.0,1,-6.325574689866113e-05,-0.0030398869181141853,-0.01086629436813812,-0.053200345064298056,-0.1179010986204807,0.11460989950503056,0.19025975072488602
0.074,-0.0026350302745429097,12.0,1,-6.640814412429973e-05,-0.003152397225638604,-0.010854218912789308,-0.05303073206542378,-0.11752520709414901,0.11458640189080001,0.1902004182503845
0.075,-0.0026350302745429097,12.0,1,-6.966111979526989e-05,-0.0032529756709701713,-0.010841592056392752,-0.05286964870192574,-0.11716821870426267,0.11454666494251624,0.19014405564697437
0.076,-0.0026350302745429097,12.0,1,-7.300393675320256e-05,-0.003342816957932675,-0.010828471816947571,-0.05271625542083494,-0.1168282728572997,0.11449234336672887,0.1900903706417612
0.077,-0.0026350302745429097,12.0,1,-7.642693302954953e-05,-0.0034229962763469607,-0.010814910403976849,-0.05256979663160256,-0.11650369503487668,0.11442492629231589,0.19003910019154563
0.078,-0.0026350302745429097,12.0,1,-7.992141428716855e-05,-0.00349448125761902,-0.010800954799586168,-0.05242959230695399,-0.11619297817979932,0.11434575383412834,0.18999000755884315
0.079,-0.0026350302745429097,12.0,1,-8.347955702151918e-05,-0.00355814273435063,-0.01078664728139595,-0.05229503042395174,-0.11589476594416004,0.11425603199969059,0.18994287968040424
0.08,-0.0034406106141385497,12.0,1,-8.709432144513134e-05,-0.0036147644236121665,-0.014165582531381626,-0.06968524937249143,-0.1544344768577923,0.14910082142483072,0.19600864974608595
0.081,-0.0034406106141385497,12.0,1,-9.08912396499224e-05,-0.0037969182047910615,-0.014151537394405242,-0.06943906674281235,-0.15388889388337054,0.1491190639929773,0.19592257411318192
0.082,-0.0034406106141385497,12.0,1,-9.485120639485077e-05,-0.003959966744928363,-0.01413660091972541,-0.06920649816779983,-0.15337348199148462,0.14911121795371246,0.19584123852309643
0.083,-0.0034406106141385497,12.0,1,-9.895702906743357e-05,-0.004105822672582796,-0.014120866003373762,-0.06898619965869189,-0.15288526267228866,0.14907993250446355,0.19576417509433403
0.084,-0.0034406106141385497,12.0,1,-0.00010319323635158605,-0.004236207284152486,-0.014104416242463795,-0.06877696164359079,-0.1524215553067862,0.14902759176609728,0.1956909627397143
0.085,-0.0034406106141385497,12.0,1,-0.00010754590603538051,-0.004352669683794469,-0.014087326865418146,-0.0685776955211173,-0.151979947367419,0.14895634129996158,0.19562122248531838
0.08600000000000001,-0.0034406106141385497,12.0,1,-0.00011200251004406257,-0.004456604008682057,-0.014069665569140553,-0.06838742155916998,-0.1515582675996403,0.14886811197229502,0.1955546132577047
0.08700000000000001,-0.0034406106141385497,12.0,1,-0.00011655177497519586,-0.004549264931133293,-0.014051493272441273,-0.06820525800423237,-0.15115456188626947,0.1487646414313589,0.1954908280925507
0.088,-0.0034406106141385497,12.0,1,-0.00012118355658517959,-0.004631781609983732,-0.014032864794093583,-0.06803041128013074,-0.1507670715262566,0.14864749343610445,0.1954295907225631
0.089,-0.0034406106141385497,12.0,1,-0.00012588872683151302,-0.0047051702463334335,-0.01401382946306086,-0.067862167167259,-0.15039421368633032,0.148518075251296,0.19537065250671667
0.09,-0.004353000503800009,12.0,1,-0.00013065907221479261,-0.004770345383279578,-0.01783793009299999,-0.08754245662213694,-0.1940091140238153,0.18795474849659716,0.20223517086498277
0.091,-0.004353000503800009,12.0,1,-0.00013563655265672495,-0.004977480441932348,-0.017819179142770765,-0.08724816144945027,-0.1933569053936546,0.18794707309802314,0.20213224959201234
0.092,-0.004353000503800009,12.0,1,-0.00014079933550260705,-0.0051627828458820964,-0.01779941391723048,-0.08696944607540483,-0.19273922427217577,0.18790962879208659,0.20203475284942338
0.093,-0.004353000503800009,12.0,1,-0.00014612777393428126,-0.005328438431674224,-0.017778740575081133,-0.08670477449407153,-0.19215266660652341,0.1878454431273244,0.20194214590885787
0.094,-0.004353000503800009,12.0,1,-0.00015160418830700652,-0.005476414372725248,-0.017757254647807908,-0.08645276431730987,-0.19159416878723612,0.18775724071079364,0.2018539475206581
0.095,-0.004353000503800009,12.0,1,-0.00015721266936030367,-0.0056084810532971525,-0.01773504210278532,-0.08621217140766907,-0.19106097359211727,0.18764747351295777,0.20176972456414494
0.096,-0.004353000503800009,12.0,1,-0.00016293890111461202,-0.005726231754308349,-0.01771218030003558,-0.08598187604853767,-0.19055059953691192,0.18751834814102344,0.20168908723305543
0.097,-0.004353000503800009,12.0,1,-0.00016877000148448625,-0.005831100369874226,-0.017688738853277583,-0.08576087049776224,-0.19006081329198896,0.1873718503839889,0.20161168470260546
0.098,-0.004353000503800009,12.0,1,-0.0001746943788360595,-0.005924377351573265,-0.017664780404840808,-0.08554824778633965,-0.18958960485832016,0.1872097673023268,0.20153720122999763
0.099,-0.004353000503800009,12.0,1,-0.00018070160289378775,-0.006007224057728237,-0.017640361323060662,-0.08534319163763249,-0.18913516522673054,0.1870337071079253,0.2014653526450149
0.1,-0.005371974824974287,12.0,1,-0.00018678228856104458,-0.006080685667256829,-0.021908024216605936,-0.10730552984146796,-0.23780747739645844,0.20912581289393423,0.20912581289393423
0.101,-0.005371974824974287,12.0,1,-0.00019383924730870413,-0.007056958747659556,-0.02188874551411575,-0.10627518297920314,-0.23552405184960593,0.20876603451925013,0.20876603451925013
0.10200000000000001,-0.005371974824974287,12.0,1,-0.00020180722810218916,-0.00796798079348502,-0.021864930685569193,-0.10528363071907013,-0.23332660180171597,0.20841973944071968,0.20841973944071968
